code,name,class_type,parent_code,predefined_type,definition
IfcActionRequest,Action Request,Class,IfcControl,,"A request is the act or instance of asking for something, such as a request for information, bid submission, or performance of work."
IfcActionRequestEMAIL,Email,Class,IfcActionRequest,EMAIL,Request was made through email.
IfcActionRequestFAX,Fax,Class,IfcActionRequest,FAX,Request was made through facsimile.
IfcActionRequestPHONE,Phone,Class,IfcActionRequest,PHONE,Request was made verbally over a telephone.
IfcActionRequestPOST,Post,Class,IfcActionRequest,POST,Request was made through postal mail.
IfcActionRequestVERBAL,Verbal,Class,IfcActionRequest,VERBAL,Request was made verbally in person.
IfcActor,Actor,Class,IfcObject,,"The [[IfcActor]] defines all actors or human agents involved in a project during its full life cycle. It facilitates the use of person and organization definitions in the resource part of the IFC object model. This includes name, address, telecommunication addresses, and roles."
IfcActuator,Actuator,Class,IfcDistributionControlElement,,"An actuator is a mechanical device for moving or controlling a mechanism or system. An actuator takes energy, usually created by air, electricity, or liquid, and converts that into some kind of motion."
IfcActuatorELECTRICACTUATOR,Electric Actuator,Class,IfcActuator,ELECTRICACTUATOR,A device that electrically actuates a control element.
IfcActuatorHANDOPERATEDACTUATOR,Hand Operated Actuator,Class,IfcActuator,HANDOPERATEDACTUATOR,A device that manually actuates a control element.
IfcActuatorHYDRAULICACTUATOR,Hydraulic Actuator,Class,IfcActuator,HYDRAULICACTUATOR,A device that hydraulically actuates a control element.
IfcActuatorPNEUMATICACTUATOR,Pneumatic Actuator,Class,IfcActuator,PNEUMATICACTUATOR,A device that pneumatically actuates a control element.
IfcActuatorTHERMOSTATICACTUATOR,Thermostatic Actuator,Class,IfcActuator,THERMOSTATICACTUATOR,A device that thermostatically actuates a control element.
IfcAirTerminal,Air Terminal,Class,IfcFlowTerminal,,An air terminal is a terminating or origination point for the transfer of air between distribution system(s) and one or more spaces. It can also be used for the transfer of air between adjacent spaces.
IfcAirTerminalBox,Air Terminal Box,Class,IfcFlowController,,An air terminal box typically participates in an HVAC duct distribution system and is used to control or modulate the amount of air delivered to its downstream ductwork. An air terminal box type is often referred to as an 'air flow regulator'.
IfcAirTerminalBoxCONSTANTFLOW,Constant Flow,Class,IfcAirTerminalBox,CONSTANTFLOW,Terminal box does not include a means to reset the volume automatically to an outside signal such as thermostat.
IfcAirTerminalBoxVARIABLEFLOWPRESSUREDEPENDANT,Variable Flow Pressure Dependant,Class,IfcAirTerminalBox,VARIABLEFLOWPRESSUREDEPENDANT,air-flow rate depends on supply pressure.
IfcAirTerminalBoxVARIABLEFLOWPRESSUREINDEPENDANT,Variable Flow Pressure Independant,Class,IfcAirTerminalBox,VARIABLEFLOWPRESSUREINDEPENDANT,air-flow rate is independent of supply pressure.
IfcAirTerminalDIFFUSER,Diffuser,Class,IfcAirTerminal,DIFFUSER,An outlet discharging supply air in various directions and planes.
IfcAirTerminalGRILLE,Grille,Class,IfcAirTerminal,GRILLE,A covering for any area through which air passes.
IfcAirTerminalLOUVRE,Louvre,Class,IfcAirTerminal,LOUVRE,A rectilinear louvre.
IfcAirTerminalREGISTER,Register,Class,IfcAirTerminal,REGISTER,A grille typically equipped with a damper or control valve.
